번호	날짜	휴일명
330	1975-05-05	어린이날
331	1975-05-18	석가탄신일
332	1975-06-06	현충일
333	1975-07-17	제헌절
334	1975-08-15	광복절
335	1975-09-20	추석
336	1975-10-03	개천절
337	1975-10-09	한글날
338	1975-10-24	국제연합일
339	1975-12-25	성탄절
340	1976-01-01	신정
341	1976-01-02	신정
342	1976-01-03	신정
343	1976-03-01	3·1절
344	1976-04-05	식목일
345	1976-05-05	어린이날
346	1976-05-06	석가탄신일
347	1976-06-06	현충일
348	1976-07-17	제헌절
349	1976-08-15	광복절
350	1976-09-08	추석
351	1976-10-01	국군의날
352	1976-10-03	개천절
353	1976-12-25	성탄절
354	1977-01-01	신정
355	1977-01-02	신정
356	1977-01-03	신정
357	1977-03-01	3·1절
358	1977-04-05	식목일
359	1977-05-05	어린이날
360	1977-05-25	석가탄신일
361	1977-06-06	현충일
362	1977-07-17	제헌절
363	1977-08-15	광복절
364	1977-09-27	추석
365	1977-10-01	국군의날
366	1977-10-03	개천절
367	1977-10-09	한글날
368	1977-12-25	성탄절
369	1978-01-01	신정
370	1978-01-02	신정
371	1978-01-03	신정
372	1978-03-01	3·1절
373	1978-04-05	식목일
374	1978-05-05	어린이날
375	1978-05-14	석가탄신일
376	1978-06-06	현충일
377	1978-07-17	제헌절
378	1978-08-15	광복절
379	1978-09-17	추석
380	1978-10-01	국군의날
381	1978-10-03	개천절
382	1978-10-09	한글날
383	1978-12-25	성탄절
384	1979-01-01	신정
385	1979-01-02	신정
386	1979-01-03	신정
387	1979-03-01	3·1절
388	1979-04-05	식목일
389	1979-05-03	석가탄신일
390	1979-05-05	어린이날
391	1979-06-06	현충일
392	1979-07-17	제헌절
393	1979-08-15	광복절
394	1979-10-01	국군의날
395	1979-10-03	개천절
396	1979-10-05	추석
397	1979-10-09	한글날
398	1979-12-25	성탄절
399	1980-01-01	신정
400	1980-01-02	신정
401	1980-01-03	신정
402	1980-03-01	3·1절
403	1980-04-05	식목일
404	1980-05-05	어린이날
405	1980-05-21	석가탄신일
406	1980-06-06	현충일
407	1980-07-17	제헌절
408	1980-08-15	광복절
409	1980-09-23	추석
410	1980-10-01	국군의날
411	1980-10-03	개천절
412	1980-10-09	한글날
413	1980-12-25	성탄절
414	1981-01-01	신정
415	1981-01-02	신정
416	1981-01-03	신정
417	1981-03-01	3·1절
418	1981-04-05	식목일
419	1981-05-05	어린이날
420	1981-05-11	석가탄신일
421	1981-06-06	현충일
422	1981-07-17	제헌절
423	1981-08-15	광복절
